product_number,family_id,product_title,size
"1791290","fam_5613fea5246b","Akril Torbex Shower Base 1000mm x 1000mm White","1000mm x 1000mm"
"1791291","fam_5613fea5246b","Akril Torbex Shower Base 1200mm x 900mm White","1200mm x 900mm"
"1791292","fam_5613fea5246b","Akril Torbex Shower Base 1370mm x 900mm White","1370mm x 900mm"
"1791289","fam_5613fea5246b","Akril Torbex Shower Base 900mm x 900mm White","900mm x 900mm"
"1712023","fam_36e002e23e4f","Aluminium 90 Degree Shower Track 1200 x 1200 with Curtain","1200 x 1200"
"1712024","fam_36e002e23e4f","Aluminium 90 Degree Shower Track 1635 x 1635 with Curtain","1635 x 1635"
"1850770","fam_31d0c707182d","Aska Robe Hook 21 x 65 x 25mm Chrome","21 x 65 x 25mm"
"9505815","fam_0e67e92ee1c8","AXA Cento Mini Wall Basin Left Hand with Fixing 1 Taphole 450 x 250mm White","450 x 250mm"
"9505814","fam_0e67e92ee1c8","AXA Cento Mini Wall Basin Right Hand with Fixing 1 Taphole 450 x 250mm White","450 x 250mm"
"9505318","fam_0fe0c4a457c0","AXA H10 Oval Counter Basin 400 x 320mm White","400 x 320mm"
"9505319","fam_0fe0c4a457c0","AXA H10 Oval Counter Basin 500 x 320mm White","500 x 320mm"
"9505320","fam_0fe0c4a457c0","AXA H10 Oval Counter Basin 600 x 320mm White","600 x 320mm"
"9502948","fam_7fd251ffd647","AXA H10 Rectangle Counter Basin 400 x 320mm White","400 x 320mm"
"9502949","fam_7fd251ffd647","AXA H10 Rectangle Counter Basin 500 x 320mm White","500 x 320mm"
"9502951","fam_7fd251ffd647","AXA H10 Rectangle Counter Basin 600 x 320mm White","600 x 320mm"
"9504386","fam_9b50105137f9","Base Acrylic Bath 1500 x 750 x 400mm White","1500 x 750 x 400mm"
"1792823","fam_9b50105137f9","Base Acrylic Bath 1520 x 715 x 380mm White","1520 x 715 x 380mm"
"1792824","fam_9b50105137f9","Base Acrylic Bath 1650 x 715 x 380mm White","1650 x 715 x 380mm"
"9504387","fam_9b50105137f9","Base Acrylic Bath 1700 x 750 x 400mm White","1700 x 750 x 400mm"
"1704234","fam_47c6dae6447e","Base Acrylic Inset Bath 1520 x 715 x 380mm with Overflow Chrome","1520 x 715 x 380mm"
"1704243","fam_47c6dae6447e","Base Acrylic Inset Bath 1520 x 715 x 380mm with Overflow Gloss White","1520 x 715 x 380mm"
"1704235","fam_47c6dae6447e","Base Acrylic Inset Bath 1650 x 715 x 380mm with Overflow Chrome","1650 x 715 x 380mm"
"1704244","fam_47c6dae6447e","Base Acrylic Inset Bath 1650 x 715 x 380mm with Overflow Gloss White","1650 x 715 x 380mm"
"1852257","fam_ac830924bbc2","Grab Rail 40 Degree Angled 450mm x 700mm Left Hand Stainless Steel","450mm x 700mm"
"1852258","fam_ac830924bbc2","Grab Rail 40 Degree Angled 450mm x 700mm Right Hand Stainless Steel","450mm x 700mm"
"2357063","fam_c5300aa2be6a","ISSY Adorn Above Counter / Semi Inset Wall Hung Vanity Unit with One Door & Internal Shelf with Grande Handle 500mm x 500mm x 450mm","500mm x 500mm x 450mm"
"2357065","fam_c5300aa2be6a","ISSY Adorn Above Counter / Semi Inset Wall Hung Vanity Unit with One Door & Internal Shelf with Grande Handle 600mm x 500mm x 450mm","600mm x 500mm x 450mm"
"2357050","fam_8087e4d190d1","ISSY Adorn Above Counter / Semi Inset Wall Hung Vanity Unit with One Door & Internal Shelf with Petite Handle 500mm x 500mm x 450mm","500mm x 500mm x 450mm"
"2357052","fam_8087e4d190d1","ISSY Adorn Above Counter / Semi Inset Wall Hung Vanity Unit with One Door & Internal Shelf with Petite Handle 600mm x 500mm x 450mm","600mm x 500mm x 450mm"
"2357089","fam_e5020fbf9f1d","ISSY Adorn Above Counter / Semi Inset Wall Hung Vanity Unit with One Drawer & Internal Shelf with Grande Handle 500mm x 500mm x 450mm","500mm x 500mm x 450mm"
"2357091","fam_e5020fbf9f1d","ISSY Adorn Above Counter / Semi Inset Wall Hung Vanity Unit with One Drawer & Internal Shelf with Grande Handle 600mm x 500mm x 450mm","600mm x 500mm x 450mm"
"2357076","fam_c9fc3f604240","ISSY Adorn Above Counter / Semi Inset Wall Hung Vanity Unit with One Drawer & Internal Shelf with Petite Handle 500mm x 500mm x 450mm","500mm x 500mm x 450mm"
"2357078","fam_c9fc3f604240","ISSY Adorn Above Counter / Semi Inset Wall Hung Vanity Unit with One Drawer & Internal Shelf with Petite Handle 600mm x 500mm x 450mm","600mm x 500mm x 450mm"
"2357072","fam_5d4c9835f099","ISSY Adorn Above Counter / Semi Inset Wall Hung Vanity Unit with Three Doors & Internal Shelves with Grande Handle 1500mm x 500mm x 450mm","1500mm x 500mm x 450mm"
"2357074","fam_5d4c9835f099","ISSY Adorn Above Counter / Semi Inset Wall Hung Vanity Unit with Three Doors & Internal Shelves with Grande Handle 1800mm x 500mm x 450mm","1800mm x 500mm x 450mm"
"2357059","fam_8b47f52e1900","ISSY Adorn Above Counter / Semi Inset Wall Hung Vanity Unit with Three Doors & Internal Shelves with Petite Handle 1500mm x 500mm x 450mm","1500mm x 500mm x 450mm"
